ID,CCAA,AREA,HABS,h_km2,Poder_Comp,PIB_pc,salones,h_salon
1,Andalucia,"87,599","8,631,862",98.54,"11,865","24,542",676,"12,769"
2,Aragon,"47,720","1,351,591",28.32,"14,108","36,699",195,"6,931"
3,Asturias,"10,604","1,009,599",95.21,"14,221","29,660",35,"28,846"
4,Balears,"4,992","1,231,768",246.75,"14,421","36,093",143,"8,614"
5,Canarias,"7,447","2,238,754",300.62,"12,550","25,861",354,"6,324"
6,Cantabria,"5,321","590,851",111.04,"14,222","29,893",44,"13,428"
7,CastillayL,"94,224","2,391,682",25.38,"13,974","30,887",108,"22,145"
8,CastillaLM,"79,461","2,104,433",26.48,"11,921","26,291",206,"10,216"
9,Cataluna,"32,113","8,012,231",249.5,"14,746","37,477",130,"61,633"
10,Comunitat_Valenciana,"23,255","5,319,285",228.74,"13,226","27,626",692,"7,687"
11,Extremadura,"41,634","1,054,681",25.33,"11,398","25,224",133,"7,930"
12,Galicia,"29,575","2,705,833",91.49,"14,075","30,191",120,"22,549"
13,Madrid,"8,028","7,009,268",873.1,"15,108","44,749",440,"15,930"
14,Murcia,"11,314","1,568,492",138.63,"12,069","26,944",341,"4,600"
15,Navarra,"10,391","678,333",65.28,"14,154","39,096",62,"10,941"
16,Pais_Vasco,"7,234","2,227,684",307.95,"15,504","41,010",209,"10,659"
17,La_Rioja,"5,045","324,184",64.26,"13,979","34,125",26,"12,469"
18,Ceuta,19,"83,179","4,377.84","11,858","23,070",13,"6,398"
19,Melilla,13,"85,985","6,614.23","8,586","21,118",15,"5,732"
